,college_names,college_location,overall_score,acceptance_rate,Est_full_price_22_23,Est_price_with_avg_grant,percent_of_student_who_get_grants,graduation_rate,early_career_earnings,avg_price_for_low_income_students,median_sat_act_score,sat_act_required,undergrad_enrollment,percent_of_students_with_need_who_get_grants,percent_of_need_met,percent_of_students_who_get_merit_grants,avg_merit_grant,avg_time_to_a_degree,median_student_debt,percent_earning_more_than_a_high_school_grad
566,SUNY at Purchase College,"Purchase, NY","
                  52.00
              ","
                  52%
              ","
                  $28,800
              ","
                  $17,500
              ","
                  67%
              ","
                  62%
              ","
                  $45,290
              ","$13,900",1160/27,No,"3,970",97%,50%,16%,"$3,550",4.2 years,"$21,575",59%
567,Kent State University at Kent,"Kent, OH","
                  51.72
              ","
                  86%
              ","
                  $28,800
              ","
                  $20,100
              ","
                  81%
              ","
                  57%
              ","
                  $42,840
              ","$13,790",1140/23,Yes,"21,430",87%,59%,26%,"$5,220",4.2 years,"$25,000",59%
568,Millersville University of Pennsylvania,"Millersville, PA","
                  51.70
              ","
                  79%
              ","
                  $30,100
              ","
                  $22,800
              ","
                  63%
              ","
                  59%
              ","
                  $48,420
              ","$17,220",1080/NA,No,"6,600",77%,59%,6%,"$3,120",4.4 years,"$24,194",71%
569,Cairn University-Langhorne,"Langhorne, PA","
                  51.28
              ","
                  83%
              ","
                  $45,400
              ","
                  $24,700
              ","
                  94%
              ","
                  53%
              ","
                  $41,010
              ","$21,040",1120/22,No,840,98%,75%,16%,"$12,010",4.5 years,"$27,000",55%
570,Erskine College,"Due West, SC","
                  51.28
              ","
                  70%
              ","
                  $55,500
              ","
                  $37,600
              ","
                  100%
              ","
                  58%
              ","
                  $43,890
              ","$38,880",1030/20,Yes,780,100%,86%,21%,"$10,730",4.1 years,"$27,000",69%
571,Fayetteville State University,"Fayetteville, NC","
                  51.27
              ","
                  69%
              ","
                  $18,000
              ","
                  $7,400
              ","
                  67%
              ","
                  35%
              ","
                  $36,410
              ","$5,370",940/19,No,"5,060",90%,68%,N/A,N/A,4.4 years,"$22,890",51%
572,Art Center College of Design,"Pasadena, CA","
                  51.00
              ","
                  71%
              ","
                  $72,500
              ","
                  $50,600
              ","
                  76%
              ","
                  68%
              ","
                  $66,410
              ","$40,210",NA/NA,No,"2,030",N/A,N/A,N/A,N/A,4.6 years,"$31,218",69%
573,Kutztown University of Pennsylvania,"Kutztown, PA","
                  51.00
              ","
                  90%
              ","
                  $29,400
              ","
                  $22,900
              ","
                  80%
              ","
                  54%
              ","
                  $46,420
              ","$18,730",1060/21,No,"6,860",61%,44%,3%,"$2,350",4.3 years,"$26,000",69%
574,Bennington College,"Bennington, VT","
                  50.95
              ","
                  61%
              ","
                  $81,000
              ","
                  $37,400
              ","
                  88%
              ","
                  73%
              ","
                  $44,200
              ","$23,630",NA/NA,No,700,100%,83%,32%,"$30,220",4.2 years,"$26,000",45%
575,Bowling Green State University,"Bowling Green, OH","
                  50.86
              ","
                  72%
              ","
                  $27,800
              ","
                  $18,600
              ","
                  72%
              ","
                  54%
              ","
                  $45,560
              ","$14,080",990/22,No,"13,770",89%,78%,27%,"$4,950",4.3 years,"$25,000",64%
